Name,Type,Surface,Price
7E EXCLUSIVE FLAT SHARE WITH VIEWS OVER MONTMARTRE,Colocation,74m² - 1 chambre - Meublé - Parking,895€
Exclusive SHARED ROOM in apt view over Montmartre,Studio,65m² - Meublé - Parking - Salle de bain privée,650€
Sunny Bastille-Roquette Paris,Logement entier,35m² - 2 chambres - Meublé - Salle de bain privée,2388€
Adagio access QUAI D'IVRY,Logement en résidence,Meublé - Parking,1100€
Appartement typique parisien près du Sacré Cœur,Logement T2,40m² - 1 chambre - Meublé - Salle de bain privée,1800€
Charming 1-bedroom top floor Canal Wifi included,Logement T2,25m² - 1 chambre - Meublé - Salle de bain privée,1650€
APPARTEMENT 2 PERSONNES 44M2 PARIS 20,Logement T2,44m² - 1 chambre - Meublé - Salle de bain privée,1800€
"Paris 16 Dauphine - Studio lumineux, vue dégagée",Studio,22m² - Meublé - Salle de bain privée,1700€
Logement entier pour 2 personnes de 22m²,Logement T2,22m² - 1 chambre - Meublé - Salle de bain privée,1390€
Cosy & Beatifully designed Appartement Paris 18th,Colocation,33m² - 1 chambre - Meublé,865€
Studio dans le 11ème arrondissement de Paris,Studio,22m² - Meublé - Salle de bain privée,1150€
Ideal secure emplacement,Logement T2,58m² - 1 chambre - Meublé - Salle de bain privée,3000€
Colocation 4 chambres à Saint-Denis,Colocation,68m² - 1 chambre - Meublé,605€
Résidence Paris Pasteur,Logement en résidence,Meublé - Salle de sport,960€
Adagio Paris Bercy,Logement en résidence,Meublé - Cafétéria,1600€
Résidence Pythagore Grande Arche,Logement en résidence,Meublé - Parking - Salle de sport,990€
"Paris 17 –Studio 29 m², refait à neuf, 4 min métro",Studio,29m² - Meublé - Salle de bain privée,1304€
Appartement entier avec 2 chambres,Logement entier,40m² - 2 chambres - Meublé,2200€
Studio dans le 6ème arrondissement de Paris,Studio,21m² - Meublé,1100€
2 pièces à Paris 20,Logement T2,44m² - 1 chambre - Meublé - Salle de bain privée,1750€
2 pièces Cosy - Paris 15,Logement T2,40m² - 1 chambre - Meublé - Salle de bain privée,2190€
Studio au coeur du 11ème arrondissement,Studio,24m² - Meublé - Salle de bain privée,1150€
Appartement avec vue incroyable,Logement entier,46m² - 2 chambres - Meublé,1690€
Charmant 2 pièces à louer - Paris 15,Logement T2,39m² - 1 chambre - Meublé - Salle de bain privée,1990€
Élégant 3 pièces meublé au calme sur jardin,Logement entier,70m² - 2 chambres - Meublé - Parking,3130€
BEAU STUDIO - Paris 16ème Métro TROCADERO,Studio,14m² - Meublé - Salle de bain privée,1050€
Petit Studio cosy,Studio,12m² - Meublé - Salle de bain privée,1200€
3 PIÈCES meublé - Paris 14ème - Denfert-Rocherau,Logement entier,52m² - 2 chambres - Meublé,2475€
Typical parisian Appartment - Buttes aux cailles,Logement T2,37m² - 1 chambre - Meublé - Salle de bain privée,1985€
Appartement exceptionnel avec jardin privatif,Logement T3,26m² - 1 chambre - Meublé - Salle de bain privée,1130€
T2 Paris 7,Logement T2,22m² - 1 chambre - Meublé,1990€
PARTICULIER loue beau 2 pièces meublé PARIS 10ème,Logement T2,37m² - 1 chambre - Meublé - Salle de bain privée,1390€
St MAUR ESCP,Studio,24m² - Meublé - Salle de bain privée,1450€
Super coliving dans grande maison avec jardin,Colocation,400m² - 15 chambres - Meublé - Salle de bain privée,950€
Appartement entièrement meublé & équipé,Colocation,56m² - 2 chambres - Meublé,1000€
Coliving premium à Ivry sur Seine - Métro Ligne 7,Colocation,280m² - 11 chambres - Meublé - Salle de bain privée,950€
Studio lumineux dans le Marais,Studio,19m² - Meublé - Salle de bain privée,1540€
Deux grandes chambres à Paris 19,Logement entier,48m² - 2 chambres - Meublé,2000€
Grand F2 au pieds du métro Cardinal Lemoine,Logement T2,36m² - 1 chambre - Meublé - Salle de bain privée,1900€
Cosy flat with private garden in Montmartre Area,Logement T2,40m² - 1 chambre - Meublé - Salle de bain privée,1500€
Rent a room in Trocadéro near Eiffle Tower,Logement chez l'habitant,76m² - 1 chambre - Meublé - Parking,1850€
Logement en colocation pour 7 personnes de 180m²,Colocation,180m² - 1 chambre - Meublé,1335€
Logement en colocation pour 8 personnes de 200m²,Logement T8,200m² - 1 chambre - Meublé,1090€
Logement en colocation pour 7 personnes de 140m²,Colocation,140m² - 1 chambre - Meublé,1025€
Logement en colocation pour 3 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1145€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1050€
Chambre meublée au coeur de la Porte Dauphine,Colocation,108m² - 1 chambre - Meublé,1215€
Colocation – au cœur du quartier de Bastille,Colocation,90m² - 2 chambres - Meublé,1100€
Logement en colocation pour 5 personnes de 100m²,Colocation,100m² - 1 chambre - Meublé,1205€
Logement en colocation pour 8 personnes de 110m²,Colocation,110m² - 1 chambre - Meublé,1130€
Logement en colocation pour 9 personnes de 140m²,Colocation,140m² - 4 chambres - Meublé,1060€
Logement en colocation pour 3 personnes de 60m²,Colocation,60m² - 1 chambre - Meublé,1000€
6 Rue du Marché Popincourt,Logement T2,23m² - 1 chambre - Meublé - Salle de bain privée,1500€
Logement en colocation pour 4 personnes de 100m²,Colocation,100m² - 1 chambre - Meublé,1200€
Studio Paris,Studio,23m² - Meublé - Salle de bain privée,1300€
Logement en colocation pour 7 personnes de 110m²,Colocation,110m² - 1 chambre - Meublé,1230€
Logement en colocation pour 9 personnes de 170m²,Colocation,170m² - 1 chambre - Meublé,1445€
Logement en colocation pour 11 personnes de 150m²,Colocation,150m² - 1 chambre - Meublé,1215€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1250€
Logement en colocation pour 3 personnes de 50m²,Colocation,50m² - 2 chambres - Meublé,1110€
Logement en colocation pour 5 personnes de 120m²,Colocation,120m² - 1 chambre - Meublé,1240€
Studio dans un Coliving en plein Montmarte,Studio,16m² - Meublé - Salle de bain privée,1150€
Chambre dans un coliving dans le 18ème,Colocation,90m² - 1 chambre - Meublé,975€
Studio de 15m2 au coeur de Paris,Studio,13m² - Meublé - Salle de bain privée,1200€
Colocation meublée – 4 Rue Oudinot,Colocation,77m² - 1 chambre - Meublé,1080€
Logement en colocation pour 5 personnes de 80m²,Colocation,80m² - 2 chambres - Meublé,935€
Logement en colocation pour 5 personnes de 100m²,Colocation,100m² - 1 chambre - Meublé,950€
Logement en colocation pour 5 personnes de 120m²,Logement T5,120m² - 1 chambre - Meublé,1050€
Logement en colocation pour 4 personnes de 70m²,Colocation,70m² - 1 chambre - Meublé,990€
Logement en colocation pour 4 personnes de 90m²,Colocation,90m² - 1 chambre - Meublé,1125€
Logement en colocation pour 4 personnes de 120m²,Colocation,120m² - 1 chambre - Meublé,1025€
Logement en colocation pour 4 personnes de 90m²,Colocation,90m² - 1 chambre - Meublé,1085€
Logement en colocation pour 5 personnes de 90m²,Colocation,90m² - 1 chambre - Meublé,1040€
2 Pièces Village d’Auteuil Paris 16eme,Logement entier,41m² - 2 chambres - Meublé - Salle de bain privée,1695€
MARAIS PARIS 3 METRO ARTS ET METIERS STUDIO MEUBLE,Studio,22m² - Meublé - Salle de bain privée,1295€
"Appartement T2, proche République, spacieux, calme",Logement T2,49m² - 1 chambre - Salle de bain privée,1495€
Appartement Paris Ménilmontant/Avenue République,Studio,18m² - Meublé - Salle de bain privée,1100€
"meublé lumineux et calme 5ème , prêt à vivre.",Studio,16m² - Meublé - Salle de bain privée,1100€
CHAMBRE NEUVE EQUIPEE BELLE HAUTEUR SOUS PLAFOND,Logement chez l'habitant,20m² - Meublé - Salle de bain privée,800€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1025€
Logement en colocation pour 8 personnes de 90m²,Colocation,90m² - 3 chambres - Meublé,1155€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1040€
Logement en colocation pour 5 personnes de 110m²,Colocation,110m² - 2 chambres - Meublé,1075€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,1035€
Logement en colocation pour 4 personnes de 80m²,Colocation,80m² - 1 chambre - Meublé,990€
Logement en colocation pour 4 personnes de 80m²,Logement T4,80m² - 1 chambre - Meublé,990€
*Colocation meublée – 3 rue de la Fidélité,Colocation,89m² - 1 chambre - Meublé,1200€
Logement en colocation pour 4 personnes de 85m²,Colocation,85m² - 2 chambres - Meublé - Salle de bain privée,975€
Logement entier pour 2 personnes de 26m²,Studio,26m² - Meublé - Salle de bain privée,1250€
Logement en colocation pour 5 personnes de 100m²,Colocation,100m² - 1 chambre - Meublé,1025€
Logement en colocation pour 4 personnes de 90m²,Colocation,90m² - 1 chambre - Meublé,1035€
Logement en colocation pour 4 personnes de 70m²,Logement T4,70m² - 1 chambre - Meublé,950€
Logement en colocation pour 5 personnes de 120m²,Colocation,120m² - 1 chambre - Meublé,1165€
Notre Dame & St-Michel Logement pour 2,Logement entier,30m² - 2 chambres - Meublé,1620€
Logement en colocation pour 3 personnes de 50m²,Colocation,50m² - 3 chambres - Meublé,1110€
Student Factory Saint Denis - Universeine,Logement en résidence,Meublé - Cafétéria,883€
Sergic résidence Nanterre Cité internationale - Coliving,Logement en résidence,3 chambres - Meublé - Parking - Salle de sport - Cafétéria,850€
Kley Paris-Clichy,Logement en résidence,5 chambres - Meublé - Parking - Salle de sport,900€
Adagio Paris 19eme Cité de la Musique,Logement en résidence,Meublé,1100€
Adagio Paris Reuilly,Logement en résidence,Meublé,1600€
Hife Issy-les-Moulineaux,Logement en résidence,Meublé - Parking - Salle de sport,1470€
Adagio Paris XV,Logement en résidence,Meublé - Parking,1300€
Twenty Campus Paris Canal de l'ourcq,Logement en résidence,Meublé - Salle de sport - Cafétéria,945€
Twenty Campus Asnières-Sur-Seine,Logement en résidence,Meublé - Parking - Salle de sport,890€
Twenty Campus Châtillon,Logement en résidence,Meublé - Salle de sport,840€
STUDEA PARIS RIQUET,Logement en résidence,Meublé - Cafétéria,884€
Adagio Access La Défense Léonard de Vinci,Logement en résidence,Meublé - Parking,1100€
Adagio Vincennes,Logement en résidence,Meublé - Parking - Salle de sport,1600€
Adagio Access Paris La Villette,Logement en résidence,Meublé - Parking,1300€
Adagio access Colombes La Défense,Logement en résidence,Meublé - Parking - Salle de sport,1100€
Student Village Bagneux,Logement en résidence,Meublé - Salle de sport,894€
Studélites Le Vendôme,Logement en résidence,Meublé - Salle de sport - Cafétéria,900€
Studélites l'aiglon,Logement en résidence,Meublé - Parking - Cafétéria,820€
Studélites Le Rembrandt,Logement en résidence,Meublé,870€
Twenty Campus Paris 11,Logement en résidence,Meublé - Salle de bain privée - Cafétéria,1030€
Adagio access Paris Saint-Denis Pleyel,Logement en résidence,Meublé - Parking - Salle de bain privée - Cafétéria,900€
Colocation de 113 m2 dans le 20ème,Colocation,113m² - 2 chambres - Meublé,1025€
Logement en colocation pour 5 personnes de 110m²,Colocation,110m² - 1 chambre - Meublé,1070€
Logement en colocation pour 3 personnes de 50m²,Colocation,50m² - 1 chambre - Meublé,1110€
2 pièces refait à neuf,Logement entier,20m² - 2 chambres - Meublé - Salle de bain privée,1200€
"Studio chic meublé Paris 15ᵉ,près de la Tour Eiffe",Studio,16m² - Meublé,1265€
Superbe appartement de luxe Avenue Montaigne,Logement T2,35m² - 1 chambre - Meublé - Salle de bain privée,2800€
4 PEOPLE :LARGE 3 ROOM APPARTMENT CENTRAL PARIS,Logement entier,65m² - 2 chambres - Meublé,2400€
À LOUER – Charmant studio meublé au cœur de Reims,Studio,24m² - Meublé - Salle de bain privée,600€
2 pièces lumineuse,Logement T2,49m² - 1 chambre - Meublé - Salle de bain privée,1800€
Appartement Quartier Plaisance,Logement entier,109m² - 4 chambres - Meublé - Parking,3500€
Cosy studio apartment in Pigalle,Studio,30m² - Meublé - Salle de bain privée,1850€
Apt lumineux / Bail mobilité /Metro Belleville,Logement entier,70m² - 2 chambres - Meublé - Parking,2800€
Chambre Privée Paris 19è - Idéale Pour étudiant,Logement chez l'habitant,57m² - 1 chambre - Meublé - Salle de bain privée,640€
Raspail Vavin Port Royal,Logement T2,47m² - 1 chambre - Meublé,1800€
Magnifique 2P au coeur du 16eme arrondissement,Logement T2,47m² - 1 chambre - Meublé - Salle de bain privée,3300€
2 chambres privées en colocation,Logement chez l'habitant,60m² - 1 chambre - Meublé,995€
chambres en colocation PARIS,Colocation,42m² - 1 chambre - Meublé,1100€
Studio suite Regard 3,Studio,24m² - Meublé - Salle de bain privée,1595€
Location meublée,Logement entier,26m² - Meublé - Salle de bain privée,1230€
Petit bijou parisien - Victor Hugo,Studio,11m² - Meublé - Salle de bain privée,1350€
"Appart parisien, 35 m2,fonctionnel à côté du métro",Studio,35m² - Meublé,1265€
Appartement 101,Logement T2,35m² - 1 chambre - Meublé - Salle de bain privée,1750€
Appartement 501,Logement entier,52m² - 2 chambres - Meublé,2700€
Appartement 503,Logement T2,40m² - 1 chambre - Meublé - Salle de bain privée,2200€
DP-39-MAROIS-BM,Logement T2,58m² - 1 chambre - Meublé,3500€
IS-21-PICPUS-BM,Logement T2,32m² - 1 chambre - Meublé,2100€
RA-1-ENCHEVAL-BM,Logement T2,33m² - 1 chambre - Meublé,2100€
Studio avec terrasse au coeur de Montmartre,Studio,27m² - Meublé - Salle de bain privée,1350€
KV-8-DUPLEIX-G-BM,Logement T2,35m² - 1 chambre - Meublé,2600€
Superbe duplex de 76 m² à louer en coliving à Paris,Colocation,76m² - 4 chambres - Meublé,950€
CA-36-UNIVERSITE-BM,Logement T2,50m² - 1 chambre - Meublé,3300€
EP-11-MONTYON-BM,Logement T3,54m² - 1 chambre - Meublé,3300€
Studio vue Tour Eiffel - Moulin Rouge/Montmartre,Logement entier,20m² - Meublé,1850€
Duplex Charmant - 2BD/5P - Nation,Logement T2,70m² - 1 chambre - Meublé,3500€
Hôtel particulier de 350m2 en coliving à Montmartre - 14 chambres et studios,Colocation,350m² - 1 chambre - Meublé,1310€
Joli studio sécurisé pres métro et RER Paris 16,Studio,20m² - Meublé - Salle de bain privée,1219€
XA-158-VOLTAIRE-BM,Logement T2,34m² - 1 chambre - Meublé,2500€
Colocation Paris XV - 105m2 - 5 chambres,Colocation,105m² - 2 chambres - Meublé,1237€
MC-5-CHALGRIN-BM,Studio,10m² - Meublé,1500€
LJ-19-BEAUSIRE-BM,Logement T2,30m² - 1 chambre - Meublé,2150€
Charmant appartement -1BR-3P- Palais des Congrès,Logement entier,38m² - Meublé,2100€
AB-7-AUGUSTIN-BM,Studio,14m² - Meublé,1600€
Appartement Cosy 1CH/2P - Invalides,Studio,30m² - Meublé,2300€
JB-48-JONQUIERE-2-BM,Logement T2,30m² - 1 chambre - Meublé,2040€
2 pieces Trocadero avec terrasse vue Tour Eiffel,Logement T2,38m² - 1 chambre - Meublé - Salle de bain privée,1680€
Studio chic 2P – Avenue Montaigne / Champs-Élysées,Logement entier,25m² - Meublé,2250€
6 Chambres en Colocation - Paris,Colocation,135m² - 1 chambre - Meublé,1020€
Charmant appt - 1BD/4P - Ternes / Porte Maillot,Studio,58m² - Meublé,2700€
Très Bel Appartement 4P Trocadéro - Paris 16eme BM,Logement T2,52m² - 1 chambre - Meublé - Salle de bain privée,2600€
Comme un studio chez l'habitant- avec SDB privé,Logement chez l'habitant,35m² - Meublé,1500€
1 bedroom apartment facing park,Logement T2,38m² - 1 chambre - Meublé - Salle de bain privée,1744€
1 Chambre en Colocation - Lecourbe 76 (1296) - Paris 75015,Colocation,120m² - 1 chambre - Meublé,1060€
Studio Cosy 2P – Trocadéro/Tour Eiffel,Logement entier,10m² - Meublé,1500€
Confortable apprt 1CH/2P - Paris 11e,Studio,35m² - Meublé,2400€
Colocation Paris XX - 92m2 - 5 chambres,Colocation,92m² - 1 chambre - Meublé,999€
"Logement entier : appartement - Paris, France",Logement entier,42m² - 2 chambres - Meublé,2900€
Studio Cosy et Moderne - 2P - Passy,Logement entier,11m² - Meublé,1500€
RJ-17-VIEILLETEMPLE-BM,Logement T2,17m² - 1 chambre - Meublé,2100€
Appt Cosy - 1BDR/2P - Moulin Rouge / Montmartre,Logement entier,35m² - Meublé,2300€
GC-36-SCHEFFER-BM,Logement T2,39m² - 1 chambre - Meublé,2200€
JZ-10-LONGCHAMPS-BM,Logement T2,32m² - 1 chambre - Meublé,2430€
TS-66-SAINTPERE-BM,Logement T2,44m² - 1 chambre - Meublé,3300€
AC-12-BON-BM,Studio,35m² - Meublé,2050€
Appartement Cosy 1CH/2P - Montmartre/Sacré-Cœur,Studio,40m² - Meublé,2470€
